ID,Name,Address,City,State,Zip,Phone,Email,Website,Latitude,Longitude,Description,Rating,ReviewCount,VanTypes,PriceMin,PriceMax,Amenities,Services,Certifications,YearsInBusiness,LeadTime
az-1,Arizona Van Conversions,123 Desert Rd,Phoenix,AZ,85004,(555) 111-2222,info@arizonavanconversions.com,https://arizonavanconversions.com,33.4484,-112.0740,"Specializes in custom van conversions, including Mercedes Sprinter, Ford Transit, and Ram ProMaster.",4.6,72,"Sprinter,Transit,ProMaster",34000,105000,"Solar Power,Kitchen,Bathroom,Air Conditioning,Desert Cooling Systems","Custom Builds,Electrical,Plumbing,Climate Control","RVIA Certified",6,2-6 months
az-2,Desert Van Works,456 Cactus Dr,Tucson,AZ,85701,(555) 222-3333,info@desertvanworks.com,https://desertvanworks.com,32.2226,-110.9747,"Offers custom van conversions, including camper vans, wheelchair-accessible vehicles, and commercial vans.",4.5,65,"Transit,ProMaster",30000,95000,"Solar Power,Kitchen,Air Conditioning,Desert Cooling Systems","Custom Builds,Accessibility Modifications,Electrical,Plumbing","RVIA Certified,ADA Compliant",5,2-5 months
az-3,VanCraft Arizona,789 Mesa Blvd,Mesa,AZ,85201,(555) 333-4444,info@vancraftaz.com,https://vancraftaz.com,33.4152,-111.8315,"Specializes in custom van conversions, including Mercedes Sprinter, Ford Transit, and Ram ProMaster, with a focus on luxury and adventure vans.",4.8,85,"Sprinter,Transit,ProMaster",40000,125000,"Solar Power,Kitchen,Bathroom,Air Conditioning,Desert Cooling Systems,Luxury Finishes","Custom Builds,Luxury Interiors,Electrical,Plumbing,Off-Road Outfitting","RVIA Certified,ASE Certified",7,3-8 months
ar-1,Arkansas Van Conversions,123 Capitol Ave,Little Rock,AR,72201,(555) 111-2222,info@arkansasvanconversions.com,https://arkansasvanconversions.com,34.7465,-92.2896,"Provides custom van conversions, including luxury vans, wheelchair-accessible vehicles, and commercial vans.",4.5,62,"Sprinter,Transit,ProMaster",32000,95000,"Solar Power,Kitchen,Bathroom,Air Conditioning,Heating","Custom Builds,Electrical,Plumbing,Climate Control","RVIA Certified",5,2-6 months
ar-2,Ozark Van Works,456 Mountain Dr,Fayetteville,AR,72701,(555) 222-3333,info@ozarkvanworks.com,https://ozarkvanworks.com,36.0822,-94.1719,"Offers custom van conversions, including camper vans, wheelchair-accessible vehicles, and commercial vans.",4.6,68,"Transit,ProMaster",28000,90000,"Solar Power,Kitchen,Heating,Off-Grid Systems","Custom Builds,Electrical,Plumbing,Off-Road Outfitting","RVIA Certified",6,2-5 months
ct-1,Connecticut Van Conversions,123 Capitol Ave,Hartford,CT,06103,(555) 111-2222,info@connecticutvanconversions.com,https://connecticutvanconversions.com,41.7658,-72.6734,"Specializes in custom van conversions, including Mercedes Sprinter, Ford Transit, and Ram ProMaster.",4.6,70,"Sprinter,Transit,ProMaster",36000,110000,"Solar Power,Kitchen,Bathroom,Heating,Winter Insulation","Custom Builds,Electrical,Plumbing,Winter Outfitting","RVIA Certified",6,3-7 months
ct-2,New England Van Works,456 Atlantic St,Stamford,CT,06901,(555) 222-3333,info@newenglandvanworks.com,https://newenglandvanworks.com,41.0534,-73.5387,"Offers custom van conversions, including camper vans, wheelchair-accessible vehicles, and commercial vans.",4.7,75,"Transit,ProMaster,Sprinter",38000,115000,"Solar Power,Kitchen,Bathroom,Heating,Winter Insulation,Luxury Finishes","Custom Builds,Luxury Interiors,Electrical,Plumbing,Accessibility Modifications","RVIA Certified,ADA Compliant",7,3-8 months
de-1,Delaware Van Conversions,123 Market St,Wilmington,DE,19801,(555) 111-2222,info@delawarevanconversions.com,https://delawarevanconversions.com,39.7447,-75.5484,"Provides custom van conversions, including luxury vans, wheelchair-accessible vehicles, and commercial vans.",4.5,60,"Sprinter,Transit,ProMaster",34000,105000,"Solar Power,Kitchen,Bathroom,Heating","Custom Builds,Electrical,Plumbing,Luxury Interiors","RVIA Certified",5,2-6 months
de-2,Mid-Atlantic Van Works,456 State St,Dover,DE,19901,(555) 222-3333,info@midatlanticvanworks.com,https://midatlanticvanworks.com,39.1582,-75.5244,"Offers custom van conversions, including camper vans, wheelchair-accessible vehicles, and commercial vans.",4.6,65,"Transit,ProMaster",30000,95000,"Solar Power,Kitchen,Heating,Accessibility Features","Custom Builds,Accessibility Modifications,Electrical,Plumbing","RVIA Certified,ADA Compliant",6,2-5 months
ga-1,Georgia Van Conversions,123 Peachtree St,Atlanta,GA,30303,(555) 111-2222,info@georgiavanconversions.com,https://georgiavanconversions.com,33.7490,-84.3880,"Provides custom van conversions, including luxury vans, wheelchair-accessible vehicles, and commercial vans.",4.6,75,"Sprinter,Transit,ProMaster",35000,105000,"Solar Power,Kitchen,Bathroom,Air Conditioning,Heating","Custom Builds,Electrical,Plumbing,Climate Control","RVIA Certified",6,3-7 months
